Timestamp;Test mode;Model;Process_time(s);Accuracy (%)
2025-05-02/18:59:24;zero;gemma2;31.9904932999998;90.91
2025-05-02/19:02:07;few;gemma2;43.34287720000066;80.52
2025-05-02/19:04:04;def;gemma2;49.36362849999932;93.51
2025-05-02/19:05:53;def-few;gemma2;49.54558329999964;93.51
2025-05-02/19:06:55;zero;gemma3_1b;24.897859000000608;76.62
2025-05-02/19:07:59;few;gemma3_1b;28.55702749999909;64.94
2025-05-02/19:08:48;def;gemma3_1b;32.62736179999956;41.56
2025-05-02/19:09:50;def-few;gemma3_1b;34.48842559999866;35.06
2025-05-02/19:11:32;zero;gemma2;32.966978099999324;90.91
2025-05-02/19:14:31;few;gemma2;43.710177799999656;84.42
2025-05-02/19:16:22;def;gemma2;49.73582119999992;93.51
2025-05-02/19:18:19;def-few;gemma2;48.962992299999314;93.51
2025-05-02/19:19:14;zero;gemma3_1b;24.338687100000243;79.22
2025-05-02/19:20:01;few;gemma3_1b;28.177555700000084;71.43
2025-05-02/19:20:50;def;gemma3_1b;33.04583009999988;38.96
2025-05-02/19:21:39;def-few;gemma3_1b;32.951236200000494;40.26
2025-05-03/12:12:07;def-few;gemma2;48.419175700000096;93.51
2025-05-03/12:26:19;def-few;gemma2;61.7726002999998;77.92
2025-05-03/12:28:28;def;gemma2;48.744192900000144;93.51
2025-05-03/12:31:20;def;gemma3_1b;33.38024689999975;36.36
2025-05-03/12:32:49;def;gemma3_1b;29.9137939999996;94.81
2025-05-03/12:34:47;zero;gemma3_1b;23.9404999999997;75.32
2025-05-03/12:46:09;def;gemma3_1b;31.12804630000028;92.21
2025-05-03/12:47:18;def;gemma3_1b;32.914992800000164;51.95
2025-05-03/12:48:25;def;gemma3_1b;32.95647310000004;46.75
2025-05-03/12:52:19;def;gemma3_1b;31.20049549999976;54.55
2025-05-03/12:54:00;def;gemma3_1b;31.722217399999863;37.66
2025-05-03/12:55:42;def;gemma3_1b;31.34298760000001;48.05
2025-05-03/12:56:55;def;gemma3_1b;30.09429020000061;93.51
2025-05-03/12:58:20;zero;gemma3_1b;23.786509999999907;76.62
2025-05-03/12:59:39;zero;gemma3_1b;25.5236945000006;90.91
2025-05-03/13:01:45;few;gemma3_1b;28.62609920000068;72.73
2025-05-03/13:03:43;few;gemma3_1b;28.557939100000112;85.71
2025-05-03/13:05:57;few;gemma3_1b;28.713191599999845;87.01
2025-05-03/13:07:21;def;gemma3_1b;29.96425149999959;92.21
2025-05-03/13:09:20;few;gemma3_1b;28.413894100000107;88.31
2025-05-03/13:10:19;few;gemma3_1b;28.18400870000005;85.71
2025-05-04/23:24:45;def;gemma3_1b;31.40209009999996;92.21
2025-05-04/23:28:36;def;gemma3_1b;30.62515289999999;50.65
2025-05-04/23:30:10;def;gemma3_1b;35.5683694999999;16.88
2025-05-04/23:31:32;def;gemma3_1b;31.844022600000017;46.75
2025-05-04/23:33:21;zero;gemma2;34.01305460000003;90.91
2025-05-04/23:37:39;few;gemma2;43.677211899999975;46.75
2025-05-04/23:39:29;few;gemma3_1b;28.791568000000098;85.71
2025-05-04/23:41:10;few;gemma2;43.57746629999997;46.75
2025-05-04/23:45:28;few;gemma3_1b;29.02588139999989;80.52
2025-05-04/23:47:49;zero;gemma3_1b;25.5486934999999;90.91
2025-05-04/23:50:01;zero;gemma3_1b;25.574702099999968;90.91
2025-05-04/23:51:32;zero;gemma3_1b;25.47329720000016;90.91
2025-05-04/23:53:31;def;gemma3_1b;30.677232900000035;49.35
2025-05-04/23:57:01;def;gemma2;49.03162100000009;90.91
2025-05-05/00:01:19;def;gemma2;48.270352099999855;93.51
2025-05-05/00:03:29;def;gemma3_1b;29.60202819999995;93.51
2025-05-05/00:15:03;def-few;gemma2;59.98581680000007;66.23
2025-05-05/00:18:06;few;gemma2;43.80687590000025;46.75
2025-05-05/10:47:19;def-few;gemma3_1b;39.5480720999999;77.92
2025-05-05/10:49:33;def-few;gemma2;59.10126349999996;94.81
2025-05-05/10:51:37;def-few;gemma3_1b;39.578205000000025;76.62
2025-05-08/12:06:24;zero;gemma3_1b;25.61738439999999;90.91
2025-05-08/17:27:15;zero;gemma3_4b;460.64389460000166;85.71
2025-05-08/17:33:49;zero;gemma3_1b;82.85410550000233;92.21
2025-05-08/17:38:23;zero;gemma2;80.07082870000158;90.91
2025-05-08/17:52:29;zero;gemma2;31.02273939999941;90.91
2025-05-08/17:53:48;zero;gemma3_1b;32.567761999998766;93.51
2025-05-08/17:59:23;zero;gemma3_1b;25.248535799997622;92.21
2025-05-08/23:01:09;zero;gemma3_1b;26.559084800000164;90.91
2025-05-08/23:02:05;zero;gemma3_1b;25.387080200000128;92.21
2025-05-08/23:04:24;zero;gemma2;32.66587160000017;90.91
2025-05-08/23:06:27;few;gemma2;43.07986029999984;88.31
2025-05-08/23:07:30;few;gemma3_1b;28.5246975;85.71
2025-05-11/11:30:36;zero;gemma2;32.37038459999985;90.91
2025-05-11/11:31:43;zero;gemma3_1b;25.17676070000016;89.61
2025-05-11/11:32:33;zero;gemma3_1b;24.839491899999302;90.91
2025-05-11/11:49:42;few;gemma3_1b;27.68460440000036;85.71
2025-05-11/11:52:38;few;gemma2;42.364891799999896;88.31
2025-05-11/11:54:36;few;gemma2;43.68024890000015;88.31
2025-05-11/11:56:56;few;gemma3_1b;27.82943410000007;88.31
2025-05-11/12:02:20;def;gemma2;48.20221439999932;93.51
2025-05-11/12:03:57;def;gemma3_1b;29.577761600000485;92.21
2025-05-11/12:04:52;def;gemma3_1b;29.13075260000005;93.51
2025-05-11/12:06:57;def-few;gemma2;59.09517700000015;94.81
2025-05-11/12:09:26;def-few;gemma2;58.32387310000013;94.81
2025-05-11/22:30:33;def-few;gemma2;60.8265811;94.81
2025-05-11/22:34:31;def-few;gemma3_1b;36.6573545;77.92
2025-05-11/22:35:33;def-few;gemma3_1b;38.34576770000001;74.03
2025-05-11/22:37:59;def-few;gemma2;60.83728999999994;94.81
2025-05-11/22:40:16;def-few;gemma2;59.69375779999996;94.81
2025-05-11/22:41:27;def-few;gemma3_1b;38.89122020000002;75.32
2025-05-11/22:42:34;def-few;gemma3_1b;37.88782149999997;75.32
2025-05-11/22:43:32;def-few;gemma3_1b;37.54933929999993;75.32
2025-05-11/23:35:11;zero;gemma3_1b;25.19787899999937;92.21
2025-05-11/23:37:49;zero;gemma3_1b;30.607433299999684;89.61
2025-05-11/23:38:39;zero;gemma3_1b;25.187518400000044;89.61
2025-05-11/23:41:36;zero;gemma3_1b;25.435604199999943;89.61
2025-05-11/23:43:15;zero;gemma2;34.89562269999988;90.91
2025-05-11/23:45:09;def-few;gemma3_1b;37.61449619999985;77.92
2025-07-08/19:11:46;zero;gemma3_1b;214.71470150000096;90.91
2025-07-08/19:13:26;zero;gemma3_1b;64.22735850000026;90.91
2025-07-08/19:25:32;zero;gemma3_1b;197.45111490000272;90.91
2025-07-08/19:27:17;zero;gemma3_1b;67.02511049999885;90.91
2025-07-08/19:29:30;zero;gemma3_1b;66.68871129999752;89.61
2025-07-08/19:34:47;zero;gemma3_1b;67.51912839999568;90.91
2025-07-08/19:43:03;zero;gemma2;246.6894389000008;90.91
2025-07-09/10:53:50;zero;gemma2;37.89845839999998;90.91
2025-07-09/10:55:16;zero;gemma3_1b;37.43216510000002;93.51
2025-07-09/10:56:20;zero;gemma3_1b;37.19090809999989;93.51
2025-07-09/10:57:28;zero;gemma3_1b;36.92027229999985;93.51
2025-07-09/10:58:52;zero;gemma2;37.0680155;90.91
2025-07-09/17:29:14;zero;gemma3_1b;37.27791180000008;94.81
2025-07-09/17:30:39;zero;gemma2;36.63259630000016;90.91
2025-07-09/17:37:57;zero;gemma3n_e2b_it;86.34155610000016;88.31
2025-07-09/17:40:38;zero;gemma3n_e2b_it;83.92834820000007;87.01
2025-07-09/18:56:04;zero;gemma3n_e2b_it;470.7800643000001;88.31
2025-07-09/19:06:51;zero;gemma3n_e2b_it;175.03951150000012;88.31
2025-07-09/21:14:00;zero;gemma3n_e2b_it;190.92818949999847;87.01
2025-07-09/21:24:04;zero;gemma3n_e2b_it;146.13411740000083;87.01
2025-07-09/21:27:57;zero;gemma3n_e2b_it;82.79056289999971;85.71
2025-07-09/21:31:52;zero;gemma3n_e2b_it;83.24237180000091;88.31
2025-07-11/11:41:09;zero;gemma2;40.34237860000008;90.91
