phrase	category
"The engine struggles to start and runs rough, with a strong smell of gasoline. The fuel pressure is excessively high due to a faulty fuel pressure regulator."	Fuel System Problems
"After refueling, the car is hard to start and the check engine light comes on for an EVAP system leak, traced to a faulty vent solenoid."	Fuel System Problems
"The vehicle experiences a sudden loss of power and sputtering. The fuel filter is found to be completely saturated with water and sediment."	Fuel System Problems
"There's a noticeable hesitation when pressing the accelerator. The throttle body is coated in carbon, restricting airflow."	Fuel System Problems
"The fuel gauge is stuck on full, regardless of the actual fuel level. The sending unit float arm is broken inside the fuel tank."	Fuel System Problems
"The engine idles poorly and stalls intermittently. One of the fuel injectors is stuck open, flooding a cylinder with fuel."	Fuel System Problems
"A whining noise is heard from the rear of the vehicle, and the engine cuts out on inclines. The fuel pump is failing to provide consistent pressure."	Fuel System Problems
"The car runs lean and has poor acceleration. The mass airflow sensor is dirty and providing incorrect readings to the engine computer."	Fuel System Problems
"There is a visible puddle of fuel under the engine bay. A rubber fuel line has become brittle and cracked, causing a dangerous leak."	Fuel System Problems
"The engine misfires under load. The fuel rail pressure sensor is faulty, causing erratic fuel delivery to the injectors."	Fuel System Problems
"The engine misfires consistently on cylinder 3. The spark plug is fouled with oil and the ignition coil shows signs of heat stress."	Ignition System Malfunctions
"The car is difficult to start in the morning and has a rough idle. The distributor cap has a hairline crack, allowing moisture to enter."	Ignition System Malfunctions
"While accelerating, the engine suddenly loses power and backfires. The ignition timing was found to be severely retarded."	Ignition System Malfunctions
"The engine cranks but will not start. There is no spark coming from the ignition coil, which has failed internally."	Ignition System Malfunctions
"A persistent engine misfire was traced to a melted spark plug wire that was resting against the hot exhaust manifold."	Ignition System Malfunctions
"The engine runs rough and the check engine light indicates a fault with the camshaft position sensor, causing incorrect ignition and fuel timing."	Ignition System Malfunctions
"The engine stumbles and hesitates, especially in damp weather. The ignition control module is failing when it heats up."	Ignition System Malfunctions
"After a tune-up, the engine runs worse than before. The spark plug wires were installed in the wrong order on the distributor cap."	Ignition System Malfunctions
"The engine has a subtle but consistent miss at idle. The gap on several spark plugs is worn and far too wide for a consistent spark."	Ignition System Malfunctions
"The engine knocks under load. The knock sensor is faulty and is not retarding the ignition timing to prevent detonation."	Ignition System Malfunctions
"The engine temperature gauge climbs into the red zone while idling in traffic. The electric radiator fan relay has failed and the fan is not turning on."	Cooling System Anomalies
"A sweet, syrupy smell is present around the car after driving. The radiator has a small pinhole leak, spraying coolant onto the hot engine."	Cooling System Anomalies
"The cabin heater blows cold air even when the engine is at full operating temperature. The heater core is clogged with sediment."	Cooling System Anomalies
"The upper radiator hose collapses when the engine cools down. The radiator cap is not venting properly, creating a vacuum in the system."	Cooling System Anomalies
"Coolant is found leaking from the side of the engine block. A steel freeze plug has rusted through and is weeping fluid."	Cooling System Anomalies
"The engine overheats, but the radiator is cool to the touch. The thermostat is stuck in the closed position, preventing coolant circulation."	Cooling System Anomalies
"The water pump was replaced, but the engine still runs hot. The new pump has a plastic impeller that has broken off the shaft."	Cooling System Anomalies
